COGNOME;NOME;TELEFONO;EMAIL
Ezpeleta;Clark;3698754569;c@gmail.com
Bianchi;Pippo;null;p@gmail.com
rossi;mario;33658458489;@gmial.com
Ezpeleta;Clark;3698754569;c@gmail.com
Bianchi;Pippo;null;p@gmail.com
rossi;mario;33658458489;@gmial.com
Ezpeleta;Clark;3698754569;c@gmail.com
Bianchi;Pippo;null;p@gmail.com
rossi;mario;33658458489;@gmial.com
Ezpeleta;Clark;3698754569;c@gmail.com
Bianchi;Pippo;null;p@gmail.com
rossi;mario;33658458489;@gmial.com
Princi;Ema;;ema@princi.it
Rossi;Max;4242354321;max@rossi.it
mario;rossi;3433432444;mario@rossi.it
carlo maria;bianchi;3234324343;carlo@bianchi.it
giovanni;verdi;3322534666;giovanni@verdi.it
luca;brambilla;3546678889;luca@brambi.it
nicola;gatto;3453546477;nico@cat.it
